idx	Quantity Name	Type	Scope	Value	Initial Value
116	npepCxylasefdp	parameter	chassagnole4	4.21	4.21
117	rmaxALDO	parameter	chassagnole4	17.4146	17.4146
118	rmaxDAHPS	parameter	chassagnole4	0.10795	0.10795
119	rmaxENO	parameter	chassagnole4	330.4476	330.4476
120	rmaxG1PAT	parameter	chassagnole4	0.0075255	0.0075255
121	rmaxG3PDH	parameter	chassagnole4	0.01162	0.01162
122	rmaxG6PDH	parameter	chassagnole4	1.3802	1.3802
123	rmaxGAPDH	parameter	chassagnole4	921.5943	921.5943
124	rmaxMetSynth	parameter	chassagnole4	0.0022627	0.0022627
125	rmaxMurSynth	parameter	chassagnole4	0.00043711	0.00043711
126	rmaxPDH	parameter	chassagnole4	6.0595	6.0595
127	rmaxPFK	parameter	chassagnole4	1840.5847	1840.5847
128	rmaxPGDH	parameter	chassagnole4	16.2324	16.2324
129	rmaxPGI	parameter	chassagnole4	650.9879	650.9879
130	rmaxPGK	parameter	chassagnole4	3021.7738	3021.7738
131	rmaxPGM	parameter	chassagnole4	0.83982	0.83982
132	rmaxPGluMu	parameter	chassagnole4	89.0497	89.0497
133	rmaxPK	parameter	chassagnole4	0.061132	0.061132
134	rmaxPTS	parameter	chassagnole4	7829.78	7829.78
135	rmaxR5PI	parameter	chassagnole4	4.8384	4.8384
136	rmaxRPPK	parameter	chassagnole4	0.0129	0.0129
137	rmaxRu5P	parameter	chassagnole4	6.739	6.739
138	rmaxSerSynth	parameter	chassagnole4	0.025712	0.025712
139	rmaxSynth1	parameter	chassagnole4	0.019539	0.019539
140	rmaxSynth2	parameter	chassagnole4	0.073619	0.073619
141	rmaxTA	parameter	chassagnole4	10.8716	10.8716
142	rmaxTIS	parameter	chassagnole4	68.6747	68.6747
143	rmaxTKa	parameter	chassagnole4	9.4734	9.4734
144	rmaxTKb	parameter	chassagnole4	86.5586	86.5586
145	rmaxTrpSynth	parameter	chassagnole4	0.001037	0.001037
146	rmaxpepCxylase	parameter	chassagnole4	0.10702	0.10702
147	kf	parameter	chassagnole4	1	1
148	kr	parameter	chassagnole4	1	1
149	Vm	parameter	chassagnole4	1	1
150	Km	parameter	chassagnole4	1	1
151	Km_NGAM	parameter	chassagnole4	15	15
152	v_NGAM	parameter	chassagnole4	1	1
